IdSiniestro,IdActorVictima,Sexo,TipoVictima,RangoEtario
20190005,3,Masculino,Fallecida,Adulto 40 a 49
20190006,1,Femenino,Fallecida,Adolescente
20190007,3,Masculino,Fallecida,Adulto 30 a 39
20190008,3,Masculino,Fallecida,Adulto 40 a 49
20190009,3,Masculino,Fallecida,Adulto 30 a 39
20190010,1,Masculino,Fallecida,
20190010,1,Masculino,Fallecida,Adulto 50 a 59
20190011,1,Masculino,Fallecida,
20190012,3,Masculino,Fallecida,Adulto 30 a 39
20190013,1,Masculino,Fallecida,Adulto 30 a 39
20190014,3,Masculino,Fallecida,Adulto Mayor
20190015,3,Masculino,Fallecida,Adulto Joven
20190016,3,Masculino,Fallecida,Adulto 40 a 49
20190017,3,Masculino,Fallecida,Adulto Joven
20190018,1,Femenino,Fallecida,Adulto Joven
20190019,3,Masculino,Fallecida,
20190020,3,Masculino,Fallecida,Adulto 40 a 49
20190021,3,Masculino,Fallecida,Adulto Joven
20190022,4,Masculino,Fallecida,
20190023,3,Masculino,Fallecida,Adulto 30 a 39
20190024,3,Masculino,Fallecida,Adulto 30 a 39
20190025,1,Masculino,Fallecida,Adulto Joven
20190026,1,Masculino,Fallecida,
20190027,2,Masculino,Fallecida,Adulto 30 a 39
20190028,1,Femenino,Fallecida,
20190029,3,Masculino,Fallecida,Adulto Joven
20190030,3,Masculino,Fallecida,Adulto Joven
20190031,2,Masculino,Fallecida,Adulto Joven
20190032,1,Femenino,Fallecida,Adulto Mayor
20190033,3,Masculino,Fallecida,Adulto Joven
20190034,3,Masculino,Fallecida,
20190035,1,Femenino,Fallecida,Adulto Mayor
20190036,3,Masculino,Fallecida,Adulto 30 a 39
20190037,3,Masculino,Fallecida,Adolescente
20190038,1,Femenino,Fallecida,Adulto 40 a 49
20190105,1,Femenino,Fallecida,Adulto Mayor
20190039,3,Masculino,Fallecida,Adulto Joven
20190040,3,Masculino,Fallecida,Adulto 40 a 49
20190041,4,Femenino,Fallecida,Adulto Mayor
20190042,1,Masculino,Fallecida,Adulto 30 a 39
20190043,2,Femenino,Fallecida,
20190044,1,Femenino,Fallecida,Adulto Mayor
